Building,Issue,Description,Verified
Coffman Memorial Union,Mobility,Landing is unnecessary,No
Lind Hall,Wheelchair Access,Unnecessarily curved wheelchair path,Yes
McNamara Alumni Center,Mobility,Conference center has bstruction due to digital ad boards,No
Northrop Mall,Wheelchair Access, Wheelchair access only available in the back of buildings,Yes
Robert H. Bruininks Hall,Mobility,The winding stairs in the Bruininks hall have steps with inconsistent width; stairs near the other exits are better,Yes
